Week,Day,Task
Week 1,Day 1 (4h),"Setup Git repo, .gitignore, README.md"
Week 1,Day 1 (4h),"Python venv, requirements.txt skeleton"
Week 1,Day 1 (4h),Project folder structure
Week 1,Day 2 (4h),Download Kaggle dataset
Week 1,Day 2 (4h),"Initial EDA (shape, missing values, class distribution)"
Week 1,Day 2 (4h),Data validation checks
Week 1,Day 3 (4h),Feature exploration and analysis
Week 1,Day 3 (4h),Outlier detection
Week 1,Day 3 (4h),Visualizations of fraud distribution
Week 1,Day 4 (4h),Design preprocessing pipeline structure
Week 1,Day 4 (4h),Design feature engineering pipeline
Week 1,Day 4 (4h),Document data schema and feature definitions
Week 1,Day 5 (4h),Setup DVC (data versioning) - optional
Week 1,Day 5 (4h),Create data loading utilities
Week 1,Day 5 (4h),Write unit tests for data loaders
Week 2-3,Day 6 (4h),"Implement data validation (schema, nulls, types)"
Week 2-3,Day 6 (4h),Handle missing values (imputation strategy)
Week 2-3,Day 6 (4h),Unit test validation
Week 2-3,Day 7 (4h),Implement numerical scaling (StandardScaler)
Week 2-3,Day 7 (4h),Implement categorical encoding (one-hot/label)
Week 2-3,Day 7 (4h),Feature transformation pipeline
Week 2-3,Day 8 (4h),Transaction velocity features (rolling windows)
Week 2-3,Day 8 (4h),User behavior profile features
Week 2-3,Day 8 (4h),Amount deviation features
Week 2-3,Day 9 (4h),"Rolling statistics features (mean, std, min, max)"
Week 2-3,Day 9 (4h),"Time-based features (hour, day, weekday)"
Week 2-3,Day 9 (4h),Test feature pipeline end-to-end
Week 2-3,Day 10 (4h),Implement SMOTE for class imbalance
Week 2-3,Day 10 (4h),Create stratified train/test split
Week 2-3,Day 10 (4h),Serialize preprocessing pipeline (joblib)
Week 2-3,Day 11 (4h),"Feature store design (caching, versioning)"
Week 2-3,Day 11 (4h),Feature importance baseline
Week 2-3,Day 11 (4h),Data quality report generation
Week 2-3,Day 12 (4h),Feature engineering review and optimization
Week 2-3,Day 12 (4h),Prepare training/validation/test datasets
Week 2-3,Day 12 (4h),Create data pipeline documentation
Week 2-3,Day 13 (4h),Setup Pandas data validation framework
Week 2-3,Day 13 (4h),Create automated data quality checks
Week 2-3,Day 13 (4h),Integration tests for entire pipeline
Week 2-3,Day 14 (4h),Performance benchmark for data pipeline
Week 2-3,Day 14 (4h),Memory optimization
Week 2-3,Day 14 (4h),Pipeline documentation and README
Week 4-5,Day 15 (4h),Implement Logistic Regression baseline
Week 4-5,Day 15 (4h),Train and evaluate on train/val/test
Week 4-5,Day 15 (4h),Save baseline metrics
Week 4-5,Day 16 (4h),Implement Random Forest model
Week 4-5,Day 16 (4h),Cross-validation (5-fold stratified)
Week 4-5,Day 16 (4h),Performance evaluation
Week 4-5,Day 17 (4h),Implement XGBoost model
Week 4-5,Day 17 (4h),Handle class weights for imbalance
Week 4-5,Day 17 (4h),Hyperparameter defaults
Week 4-5,Day 18 (4h),Implement Isolation Forest (unsupervised)
Week 4-5,Day 18 (4h),Evaluate on fraud detection capability
Week 4-5,Day 18 (4h),Compare anomaly vs supervised
Week 4-5,Day 19 (4h),Setup Optuna framework
Week 4-5,Day 19 (4h),Define hyperparameter search space
Week 4-5,Day 19 (4h),Implement objective function
Week 4-5,Day 20 (4h),Optuna optimization for Random Forest
Week 4-5,Day 20 (4h),Track trials and best parameters
Week 4-5,Day 20 (4h),Visualization of optimization
Week 4-5,Day 21 (4h),Optuna optimization for XGBoost
Week 4-5,Day 21 (4h),Early stopping configuration
Week 4-5,Day 21 (4h),Comparison of optimized models
Week 4-5,Day 22 (4h),"Model evaluation metrics (precision, recall, F1, ROC-AUC)"
Week 4-5,Day 22 (4h),Confusion matrix analysis
Week 4-5,Day 22 (4h),PR curve analysis
Week 4-5,Day 23 (4h),Model comparison report generation
Week 4-5,Day 23 (4h),Feature importance analysis (all models)
